Time, Delta, Delat Prev, Data Id, Data Type, Data Count, Ip Address, Data
2019-05-08 13:22:53.044999,2.488222,2019-05-08 13:22:53.044999,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.046994,2.490217,2019-05-08 13:22:53.046994,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.050983,2.494206,2019-05-08 13:22:53.050983,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.052978,2.496201,2019-05-08 13:22:53.052978,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.054973,2.498196,2019-05-08 13:22:53.054973,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.057966,2.501189,2019-05-08 13:22:53.057966,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.061956,2.505179,2019-05-08 13:22:53.061956,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.064946,2.508169,2019-05-08 13:22:53.064946,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.066941,2.510164,2019-05-08 13:22:53.066941,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.070931,2.514154,2019-05-08 13:22:53.070931,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.072925,2.516148,2019-05-08 13:22:53.072925,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.075917,2.51914,2019-05-08 13:22:53.075917,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.077911,2.521134,2019-05-08 13:22:53.077911,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.081902,2.525125,2019-05-08 13:22:53.081902,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.083896,2.527119,2019-05-08 13:22:53.083896,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.086887,2.53011,2019-05-08 13:22:53.086887,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.090878,2.534101,2019-05-08 13:22:53.090878,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.093871,2.537094,2019-05-08 13:22:53.093871,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.095866,2.539089,2019-05-08 13:22:53.095866,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.097860,2.541083,2019-05-08 13:22:53.097860,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.101848,2.545071,2019-05-08 13:22:53.101848,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.103843,2.547066,2019-05-08 13:22:53.103843,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.106835,2.550058,2019-05-08 13:22:53.106835,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.110824,2.554047,2019-05-08 13:22:53.110824,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.112819,2.556042,2019-05-08 13:22:53.112819,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.115811,2.559034,2019-05-08 13:22:53.115811,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.117806,2.561029,2019-05-08 13:22:53.117806,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.121796,2.565019,2019-05-08 13:22:53.121796,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.123790,2.567013,2019-05-08 13:22:53.123790,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.126783,2.570006,2019-05-08 13:22:53.126783,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.130772,2.573995,2019-05-08 13:22:53.130772,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.132766,2.575989,2019-05-08 13:22:53.132766,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.134761,2.577984,2019-05-08 13:22:53.134761,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.137753,2.580976,2019-05-08 13:22:53.137753,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.142741,2.585964,2019-05-08 13:22:53.142741,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.144736,2.587959,2019-05-08 13:22:53.144736,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.146732,2.589955,2019-05-08 13:22:53.146732,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.150719,2.593942,2019-05-08 13:22:53.150719,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.152713,2.595936,2019-05-08 13:22:53.152713,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.155707,2.59893,2019-05-08 13:22:53.155707,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.157700,2.600923,2019-05-08 13:22:53.157700,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.161695,2.604918,2019-05-08 13:22:53.161695,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.163684,2.606907,2019-05-08 13:22:53.163684,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.166676,2.609899,2019-05-08 13:22:53.166676,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.168671,2.611894,2019-05-08 13:22:53.168671,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.172660,2.615883,2019-05-08 13:22:53.172660,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.175653,2.618876,2019-05-08 13:22:53.175653,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.177647,2.62087,2019-05-08 13:22:53.177647,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.179642,2.622865,2019-05-08 13:22:53.179642,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.183631,2.626854,2019-05-08 13:22:53.183631,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.186623,2.629846,2019-05-08 13:22:53.186623,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.188618,2.631841,2019-05-08 13:22:53.188618,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.193605,2.636828,2019-05-08 13:22:53.193605,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.195599,2.638822,2019-05-08 13:22:53.195599,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.197593,2.640816,2019-05-08 13:22:53.197593,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.199589,2.642812,2019-05-08 13:22:53.199589,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.204575,2.647798,2019-05-08 13:22:53.204575,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.206570,2.649793,2019-05-08 13:22:53.206570,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.209562,2.652785,2019-05-08 13:22:53.209562,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.211557,2.65478,2019-05-08 13:22:53.211557,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.215546,2.658769,2019-05-08 13:22:53.215546,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.217540,2.660763,2019-05-08 13:22:53.217540,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.219535,2.662758,2019-05-08 13:22:53.219535,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.223525,2.666748,2019-05-08 13:22:53.223525,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.226517,2.66974,2019-05-08 13:22:53.226517,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.228511,2.671734,2019-05-08 13:22:53.228511,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.230506,2.673729,2019-05-08 13:22:53.230506,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.235493,2.678716,2019-05-08 13:22:53.235493,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.237487,2.68071,2019-05-08 13:22:53.237487,0,b,0,('0.0.0.0', 11000),()
2019-05-08 13:22:53.239483,2.682706,2019-05-08 13:22:53.239483,0,b,0,('0.0.0.0', 11000),()
